iter	Passed	Remaining
0	144	144776
1	146	73050
2	147	49140
3	150	37370
4	151	30194
5	153	25384
6	155	22000
7	156	19463
8	158	17428
9	159	15807
10	161	14495
11	162	13408
12	164	12474
13	165	11675
14	167	10994
15	169	10398
16	170	9863
17	172	9389
18	173	8959
19	175	8579
20	176	8230
21	178	7923
22	180	7654
23	181	7394
24	183	7171
25	186	6971
26	187	6756
27	188	6557
28	190	6376
29	192	6212
30	193	6049
31	195	5900
32	196	5764
33	198	5646
34	200	5514
35	201	5395
36	202	5280
37	204	5173
38	206	5082
39	207	4986
40	209	4893
41	210	4803
42	212	4737
43	214	4657
44	215	4580
45	217	4506
46	218	4436
47	220	4368
48	221	4303
49	223	4244
50	224	4183
51	226	4126
52	227	4070
53	229	4016
54	230	3964
55	232	3919
56	233	3870
57	235	3822
58	236	3775
59	238	3731
60	239	3686
61	240	3642
62	242	3602
63	243	3562
64	246	3540
65	248	3511
66	249	3474
67	250	3438
68	252	3402
69	253	3367
70	254	3334
71	256	3300
72	257	3269
73	259	3242
74	260	3210
75	261	3181
76	262	3151
77	264	3123
78	265	3095
79	266	3068
80	268	3043
81	269	3017
82	270	2986
83	271	2962
84	273	2939
85	274	2916
86	275	2892
87	277	2872
88	278	2851
89	279	2829
90	281	2813
91	283	2795
92	284	2775
93	286	2759
94	288	2745
95	289	2729
96	291	2711
97	293	2698
98	294	2679
99	296	2664
100	297	2647
101	298	2630
102	300	2614
103	301	2598
104	302	2581
105	304	2565
106	305	2549
107	306	2534
108	308	2518
109	309	2504
110	310	2490
111	312	2476
112	313	2462
113	315	2450
114	316	2436
115	317	2422
116	318	2406
117	320	2394
118	321	2383
119	323	2372
120	325	2361
121	326	2347
122	327	2336
123	329	2324
124	330	2312
125	331	2300
126	332	2288
127	334	2278
128	335	2267
129	337	2261
130	339	2251
131	340	2241
132	342	2231
133	343	2221
134	345	2212
135	346	2203
136	348	2195
137	350	2186
138	351	2176
139	352	2166
140	354	2157
141	354	2144
142	356	2135
143	357	2125
144	359	2116
145	360	2108
146	361	2098
147	363	2090
148	364	2082
149	366	2074
150	368	2069
151	369	2060
152	370	2053
153	372	2044
154	373	2035
155	374	2027
156	376	2019
157	377	2010
158	378	2002
159	379	1994
160	380	1984
161	382	1976
162	383	1968
163	384	1961
164	386	1954
165	387	1946
166	388	1939
167	390	1932
168	391	1924
169	392	1917
170	393	1909
171	395	1902
172	396	1897
173	398	1890
174	399	1885
175	401	1878
176	402	1871
177	403	1865
178	405	1858
179	406	1851
180	407	1844
181	408	1837
182	410	1830
183	411	1824
184	412	1818
185	414	1812
186	415	1806
187	416	1800
188	418	1794
189	419	1788
190	420	1782
191	422	1777
192	423	1771
193	424	1765
194	426	1760
195	428	1756
196	429	1751
197	431	1746
198	432	1741
199	434	1736
200	435	1731
201	436	1725
202	438	1720
203	439	1713
204	440	1709
205	442	1706
206	444	1701
207	445	1695
208	446	1690
209	447	1684
210	449	1679
211	450	1675
212	451	1669
213	453	1664
214	454	1659
215	455	1654
216	457	1649
217	458	1644
218	459	1639
219	461	1634
220	462	1629
221	463	1624
222	464	1619
223	466	1614
224	467	1611
225	469	1606
226	470	1601
227	471	1597
228	473	1593
229	474	1588
230	475	1583
231	476	1578
232	478	1573
233	479	1569
234	480	1565
235	482	1560
236	483	1556
237	484	1552
238	486	1548
239	488	1545
240	489	1540
241	490	1536
242	491	1532
243	493	1528
244	494	1524
245	496	1520
246	497	1517
247	499	1513
248	500	1509
249	501	1505
250	503	1501
251	504	1497
252	505	1493
253	507	1490
254	508	1486
255	509	1482
256	511	1478
257	512	1474
258	514	1470
259	515	1466
260	516	1462
261	517	1458
262	519	1454
263	520	1450
264	521	1447
265	523	1444
266	524	1440
267	525	1436
268	527	1432
269	528	1428
270	529	1424
271	530	1421
272	532	1417
273	533	1414
274	535	1410
275	536	1406
276	537	1403
277	539	1399
278	540	1396
279	541	1393
280	543	1389
281	544	1385
282	545	1381
283	546	1378
284	548	1375
285	549	1372
286	551	1368
287	552	1365
288	553	1362
289	555	1359
290	556	1356
291	558	1353
292	559	1350
293	561	1347
294	562	1344
295	564	1342
296	565	1339
297	567	1335
298	568	1332
299	569	1329
300	571	1326
301	572	1322
302	573	1319
303	574	1316
304	576	1313
305	577	1310
306	579	1307
307	580	1304
308	581	1300
309	583	1297
310	584	1294
311	585	1291
312	586	1288
313	588	1284
314	589	1281
315	591	1279
316	592	1277
317	594	1274
318	595	1271
319	596	1268
320	598	1265
321	599	1261
322	600	1258
323	601	1255
324	603	1252
325	604	1249
326	605	1247
327	607	1244
328	609	1242
329	610	1239
330	611	1236
331	612	1232
332	613	1229
333	615	1226
334	616	1224
335	618	1221
336	619	1219
337	621	1216
338	622	1213
339	624	1211
340	625	1208
341	627	1206
342	628	1204
343	629	1201
344	631	1198
345	632	1195
346	634	1193
347	635	1190
348	636	1187
349	638	1185
350	639	1183
351	641	1180
352	642	1178
353	643	1174
354	645	1172
355	646	1170
356	648	1167
357	649	1165
358	651	1162
359	652	1160
360	654	1157
361	655	1155
362	656	1152
363	658	1149
364	659	1146
365	660	1144
366	662	1142
367	663	1139
368	665	1137
369	666	1135
370	668	1133
371	669	1130
372	671	1128
373	672	1125
374	673	1123
375	675	1121
376	676	1118
377	678	1116
378	679	1113
379	681	1111
380	682	1108
381	683	1106
382	685	1103
383	686	1101
384	688	1099
385	689	1096
386	690	1094
387	692	1091
388	693	1089
389	694	1086
390	696	1084
391	697	1082
392	698	1079
393	700	1077
394	701	1074
395	703	1072
396	704	1070
397	706	1067
398	707	1066
399	709	1063
400	710	1061
401	712	1060
402	714	1057
403	715	1055
404	716	1053
405	718	1050
406	719	1048
407	720	1045
408	722	1043
409	723	1040
410	724	1038
411	726	1036
